repo,nonmerge_main_commits,pct_code_only,pct_test_only,pct_mixed,median_lines_changed,p95_lines_changed,mixed_commits,code_only_commits,test_only_commits,p_test_change_given_code_change,p_code_change_given_test_change,test_only_followed_by_code_or_mixed,sequence_rate,window_commits,code_only_median_lines,code_only_p95_lines,code_only_count,test_only_median_lines,test_only_p95_lines,test_only_count,mixed_median_lines,mixed_p95_lines,mixed_count
cassandra,14280,0.619467787114846,0.07773109243697479,0.30280112044817925,35.5,1090.1499999999978,4324,8846,1110,0.3283219438116932,0.7957305852042694,1038,0.9351351351351351,3,16.0,299.0,8846,18.0,433.64999999999986,1110,189.0,2735.699999999999,4324
commons-io,3901,0.45578056908485004,0.28710587028966933,0.25711356062548063,18.0,419.0,1003,1778,1120,0.3606616325062927,0.47244465379180406,876,0.7821428571428571,3,9.0,196.0,1778,13.0,256.0999999999999,1120,84.0,769.9,1003
commons-lang,6314,0.4969908140639848,0.24833702882483372,0.2546721571111815,18.0,494.0,1608,3138,1568,0.3388116308470291,0.5062972292191436,1196,0.7627551020408163,3,10.0,233.0,3138,13.0,361.2499999999993,1568,77.0,1014.4999999999986,1608
hadoop,22192,0.28902307137707284,0.13707642393655373,0.5739005046863734,71.0,1180.4500000000007,12736,6414,3042,0.665065274151436,0.8071998985929776,2730,0.8974358974358975,3,14.0,270.34999999999945,6414,20.0,777.9499999999962,3042,153.0,1560.5,12736
kafka,10272,0.29380841121495327,0.15274532710280375,0.553446261682243,96.0,1510.449999999999,5685,3018,1569,0.6532230265425715,0.7837055417700579,1300,0.82855321861058,3,18.0,587.0,3018,46.0,1160.6,1569,203.0,1949.6000000000004,5685
lucene,28521,0.4128536867571263,0.18547736755373234,0.40166894568914135,38.0,1091.0,11456,11775,5290,0.4931341741638328,0.6841036665472352,4787,0.9049149338374292,3,14.0,301.2999999999993,11775,9.0,240.65000000000055,5290,151.0,2160.25,11456
maven,9727,0.5465199958877351,0.2592782975223604,0.19420170658990438,46.0,787.0,1889,5316,2522,0.2621790423317141,0.42824756291090454,1678,0.6653449643140364,3,23.0,412.0,5316,57.0,488.0,2522,184.0,2711.799999999991,1889
tomcat,20829,0.775265255173076,0.12232944452446108,0.1024053003024629,19.0,350.0,2133,16148,2548,0.11667851868059734,0.45567186498611406,2286,0.8971742543171115,3,16.0,291.64999999999964,16148,13.0,245.6500000000001,2548,100.0,773.3999999999999,2133
