repo,nonmerge_main_commits,code_only_commits,test_only_commits,mixed_commits,pct_code_only,pct_test_only,pct_mixed,p_test_change_given_code_change,p_code_change_given_test_change,sequence_window_commits,test_only_followed_by_code_or_mixed,sequence_rate,sequence_window_hours,test_only_followed_by_code_or_mixed_within_window,sequence_rate_time_window,prod_files_total_for_intro,traceability_match_coverage,intro_test_first,intro_test_parallel,intro_test_later,intro_no_test_observed,pct_intro_test_first,pct_intro_test_parallel,pct_intro_test_later,pct_intro_no_test_observed,median_lines_changed,p95_lines_changed,code_only_median_lines,code_only_p95_lines,code_only_count_sizes,test_only_median_lines,test_only_p95_lines,test_only_count_sizes,mixed_median_lines,mixed_p95_lines,mixed_count_sizes
cassandra,14280,8846,1110,4324,0.619467787114846,0.07773109243697479,0.30280112044817925,0.3283219438116932,0.7957305852042694,3,1038,0.9351351351351351,72,497,0.4477477477477477,5516,0.17657722987672225,65,507,402,4542,0.011783901377810007,0.09191443074691806,0.0728788977519942,0.8234227701232777,35.5,1090.1499999999978,16.0,299.0,8846,18.0,433.64999999999986,1110,189.0,2735.699999999999,4324
commons-io,3901,1778,1120,1003,0.45578056908485004,0.28710587028966933,0.25711356062548063,0.3606616325062927,0.47244465379180406,3,876,0.7821428571428571,72,813,0.7258928571428571,468,0.5982905982905983,48,142,90,188,0.10256410256410256,0.3034188034188034,0.19230769230769232,0.4017094017094017,18.0,419.0,9.0,196.0,1778,13.0,256.0999999999999,1120,84.0,769.9,1003
commons-lang,6314,3138,1568,1608,0.4969908140639848,0.24833702882483372,0.2546721571111815,0.3388116308470291,0.5062972292191436,3,1196,0.7627551020408163,72,1039,0.6626275510204082,622,0.6463022508038585,69,247,86,220,0.11093247588424437,0.3971061093247588,0.1382636655948553,0.3536977491961415,18.0,494.0,10.0,233.0,3138,13.0,361.2499999999993,1568,77.0,1014.4999999999986,1608
hadoop,22192,6414,3042,12736,0.28902307137707284,0.13707642393655373,0.5739005046863734,0.665065274151436,0.8071998985929776,3,2730,0.8974358974358975,72,1356,0.4457593688362919,19758,0.002530620508148598,0,0,50,19708,0.0,0.0,0.002530620508148598,0.9974693794918514,71.0,1180.4500000000007,14.0,270.34999999999945,6414,20.0,777.9499999999962,3042,153.0,1560.5,12736
kafka,10272,3018,1569,5685,0.29380841121495327,0.15274532710280375,0.553446261682243,0.6532230265425715,0.7837055417700579,3,1300,0.82855321861058,72,397,0.2530274059910771,5042,0.0,0,0,0,5042,0.0,0.0,0.0,1.0,96.0,1510.449999999999,18.0,587.0,3018,46.0,1160.6,1569,203.0,1949.6000000000004,5685
lucene,28521,11775,5290,11456,0.4128536867571263,0.18547736755373234,0.40166894568914135,0.4931341741638328,0.6841036665472352,3,4787,0.9049149338374292,72,3217,0.6081285444234404,18956,0.012766406414855455,4,130,108,18714,0.00021101498206372652,0.006857986917071112,0.005697404515720616,0.9872335935851445,38.0,1091.0,14.0,301.2999999999993,11775,9.0,240.65000000000055,5290,151.0,2160.25,11456
maven,9727,5316,2522,1889,0.5465199958877351,0.2592782975223604,0.19420170658990438,0.2621790423317141,0.42824756291090454,3,1678,0.6653449643140364,72,1539,0.6102299762093577,5836,0.0,0,0,0,5836,0.0,0.0,0.0,1.0,46.0,787.0,23.0,412.0,5316,57.0,488.0,2522,184.0,2711.799999999991,1889
tomcat,20829,16148,2548,2133,0.775265255173076,0.12232944452446108,0.1024053003024629,0.11667851868059734,0.45567186498611406,3,2286,0.8971742543171115,72,2184,0.8571428571428571,3834,0.0,0,0,0,3834,0.0,0.0,0.0,1.0,19.0,350.0,16.0,291.64999999999964,16148,13.0,245.6500000000001,2548,100.0,773.3999999999999,2133
